Refran	Significado	Uso
Quien roba a un ladrón, tiene cien años de perdón	Se emplea este refrán para discupar a quien comete una mala acción contra un malvado.	De uso actual
Quien se pica ajos come	Se aplica a quien en una conversación interviene de repente, descubriendo que se siente aludido. El sabor fuerte y picante del ajo sirve para referirse a la resignación que debe tener quien se resiente por algo que se censura de modo casual o general, seguramente por estar involucrado en ello.	De uso actual
Quien siembra vientos recoge tempestades	Advierte de las terribles consecuencias que puede acarrear realizar malas actuaciones o predicar malas doctrinas.	De uso actual
Rectificar es de sabios	Cuando alguien descubre que se ha equivocado, lo más prudente es tratar de enmendar el error.	De uso actual
Renovarse o morir	Esta paremia señala la saludable necesidad de realizar cambios, por lo general radicales, en el comportamiento, la imagen de uno, en el trabajo, en definitiva en el contexto profesional o personal.	De uso actual
Santa Rita, Rita, Rita, lo que se da no se quita	Se emplea para negarse a devolver algo a quien era su dueño antes, pero que lo regaló.	De uso actual
Sarna con gusto, no pica	Quien que va tras algo de forma voluntaria, no siente molestias por las posibles incomodidades.	De uso actual
Se dice el pecado pero no el pecador	Declara que no se está dispuesto a confesar quién ha sido el autor de una mala acción.	De uso actual
Sobre gustos no hay nada escrito	Cada uno es libre de desear o de opinar lo que quiera.	De uso actual
Sólo se vive una vez	Con esta paremia, se anima a aprovechar el tiempo al máximo. También se emplea para disculpar algún exceso que se va a cometer.	De uso actual
Tanto tienes, tanto vales	Da a entender que, por lo general, se trata a una persona en función de su riqueza.	De uso actual
Tanto va el cántaro a la fuente que al final se rompe	Quien se expone con frecuencia a las ocasiones de peligro tarde o temprano quedará atrapado en ellas.	De uso actual
Tirar la piedra y esconder la mano	Alude a quien hace alguna faena y, luego, se oculta, sin reconocer su culpa; se refiere a quien halaga por delante y ofende por detrás.	De uso actual
Todo lo puede el amor	Alude a la fuerza del amor.	De uso actual
Todo se pega menos la hermosura	Da a entender que los malos ejemplos se aprenden y siguen con más facilidad que los buenos.	De uso actual
Todos los caminos llevan a Roma	Alude a la posibilidad de conseguir el mismo objetivo por caminos distintos.	De uso actual
Tras cornudo, apaleado	Recrimina la injusticia de quienes pretenden que no se disguste quien recibe no sólo un mal tratamiento sino también más penas.	De uso actual
Una golondrina no hace verano	No se puede deducir una regla o norma general de un solo caso. Asimismo, un indicio no basta para asegurar algo sino que se debe observar si se produce con cierta frecuencia o regularidad.	De uso actual
Una imagen vale más que mil palabras	Reconoce que la mejor manera de probar algo es verlo.	De uso actual
Un clavo saca otro clavo	En ocasiones, un mal hace olvidar otro similar que estaba causando muchas molestias. Suele aplicarse a asuntos amorosos, concretamente a la persona que ha sufrido un desengaño amoroso.	De uso actual
Un grano no hace granero, pero ayuda al compañero	Enseña la importancia de la economía continuada, aunque se trate de cosas pequeñas.	De uso actual
Vemos la paja en el ojo ajeno, y no vemos la viga en el nuestro	Con mucha facilidad nos damos cuenta de los defectos ajenos, cuando los nuestros pueden ser mayores.	De uso actual
A amor mal correspondido, ausencia y olvido	Se recomienda olvidar los amores que, por no tener correspondencia, no pueden conducir a nada.	En desuso
A bien obrar, bien pagar	Quien actúa honradamente, cumple su deber o realiza perfectamente la actividad encomendada es lógico que sea recompensado por ello.	En desuso
Abogado joven, pleito perdido	Para el buen desempeño de las profesiones resulta imprescindible o muy conveniente poseer cierta experiencia, con el fin de obtener el resultado apetecido. De ese modo se previenen los riesgos y se evitan los fracasos.	En desuso
Abogado, juez y doctor, cuanto más lejos mejor	Este refrán recomienda alejarse de quienes ejercen la abogacía, la medicina y la justicia, porque no siempre tienen honorarios altos y no es raro que prolonguen su intervención para beneficio propio.	En desuso
Aborrece y serás aborrecido, quiere con amor de verdad y serás correspondido	En función del comportamiento que tenga cada uno con los demás, así será tratado.	En desuso
A buen gato, buen rato	Se dice cuando los adversarios poseen idéntica fuerza. Por otra parte, aconseja una respuesta eficaz y bien dirigida a un buen ataque.	En desuso
A buen servicio, mal galardón	Alude a quien no ha sido recompensado como se merece. Se diría cuando alguien ha puesto empeño en hacer algo bien, incluso puede haber recibido alabanzas por ello, pero no le han recompensado (económicamente o de otro modo) como cabría esperar.	En desuso
A buen sueño no hay mala cama	Cuando de verdad se está cansado, no se ponen reparos al lugar donde se va a dormir y reparar fuerzas.	En desuso
A buey viejo, cencerro nuevo	Se emplea cuando alguien pretende destacar sin mérito, cuando se estima que alguien o algo tiene una importancia que no merece o cuando se compone y adorna a alguien o algo para darle mejor apariencia, una apariencia juvenil. Alude a los viejos que resultan ridículos por arreglarse como si fueran jóvenes, algo impropio para su edad. En sentido general, se refiere a lo que resulta inadecuado o desproporcionado. Se aplica también a la mercancía que se va a vender y a la conveniencia de darle una buena apariencia. También puede aplicarse al matrimonio entre personas de edades muy diferentes.	En desuso
A burro muerto, la cebada al rabo	Reprende a quienes pretenden ayudar o poner remedio fuera de tiempo, cuando ya es demasiado tarde y ha pasado la ocasión oportuna, por lo que ya no puede surtir efecto.	En desuso
A caballero nuevo, caballo viejo	Los instrumentos o medios buenos o de buena calidad facilitan el aprendizaje de los pincipiantes; así, para un jinete inexperto es mucho mejor montar un caballo ya amaestrado que uno sin domar. En un sentido más amplio, se indica que la experiencia de la persona madura debe encauzar la osadía y la intrepidez de la juventud.	En desuso
A caballo nuevo, jinete viejo	Elogia la experiencia de la vejez para encauzar la intrepidez de la juventud, mediante la imagen del jinete ya consagrado que sabe cómo domar o dominar un caballo joven. Por otra parte, es preferible dejar una tarea nueva y difícil para quien ya ha pasado por situaciones semejantes.	En desuso
A cada puerta, su dueña	Da a entender el cuidado con que cada uno debe guardar lo suyo si se desea que esté seguro. También recomienda a cada uno atender su obligación, puesto que no conviene inmiscuirse en la vida de los demás.	En desuso
A camino largo, paso corto	No hay que precipitarse en alcanzar el fin deseado, sino que se debe dosificar el esfuerzo y tener en cuenta que toda empresa requiere su tiempo.	En desuso
A canas honradas, no hay puertas cerradas	Se refiere al respeto que se debe tener a los ancianos. Por otra parte, alude a quien es bien recibido en todas partes porque se ha ganado un buen nombre al cabo de los años, por su juicio y prudencia.	En desuso
A carne de lobo, diente de perro	Para afrontar una dificultad o una situación difícil hay que actuar con decisión y contundencia.	En desuso
Aceituna, una es oro; dos, plata, y la tercera, mata	La recomendación de  comer con mesura las aceitunas para que no hagan daño lleva en un sentido más general a aconsejar ser moderados en todo, incluso en lo que es bueno.	En desuso
A chico pajarillo, chico nidillo	El trato dado a alguien debe estar conforme a su condición y categoría. Esta paremia puede señalar también la conveniencia de adaptarse a las circunstancias.	En desuso
Acogí al ratón en mi agujero y volvióseme heredero	Conviene desconfiar de quien sospechamos que con el tiempo puede abusar de nuestra confianza y convertirse en los amos.	En desuso
Acostarse temprano y levantarse temprano hacen al hombre sano	Para aprovechar el tiempo, conviene acostarse temprano y de ese modo poder madrugar al día siguiente.	En desuso
A cualquier dolencia es remedio la paciencia	La enfermedad ha de combatirse, pero requiere también saber esperar a que siga su curso según las leyes de la naturaleza.	En desuso
A cuerpo débil, larga vida	Paradójicamente, la persona de complexión frágil puede llegar a vivir más tiempo que otra más robusta, bien porque sólo sea débil en apariencia, sea porque se cuida y administra sus fuerzas y así alarga su vida..	En desuso
A dineros pagados, brazos quebrados	Recomienda no pagar por adelantado un servicio, pues con frecuencia se descuida su ejecución, se retrasa la realización de lo acordado. Alude también a la dificultad de recuperar el dinero prestado.	En desuso
Adonde el corazón se inclina, el pie camina	Con anhelo e insistencia nos dirigimos con frecuencia y de forma instintiva a los lugares en donde está nuestro afecto o placer o con la esperanza de conseguir algo más o menos interesante.	En desuso
¿Adónde irá el buey que no are?	Tomando como referente el buey, animal cuya ocupación principal era la de ser animal de tiro, en especial, en las labores de labranza, esta paremia afirma que, en cualquier ocupación, hay trabajos y dificultades que soportar, de modo que no cabe eludirlos cambiando de oficio o de lugar. Se aplica también a quien se ve obligado a trabajar adonde quiera que vaya o a quien en vano huye en este mundo de problemas porque los encuentra en cualquier parte. En esta línea, se encuentra el sentido de la adivinanza, cuya respuesta es - A la carnicería o al matadero, y que encierra la reflexión amarga de que sólo le espera la muerte a quien ya no puede trabajar.	En desuso
¿Adónde va la lengua? Adonde duelen las muelas	Igual que de modo instintivo la lengua va a la muela que duele para aliviarla, cada uno sabe mejor que nadie lo que le perjudica o lo que le conviene.	En desuso
A escudero pobre, taza de plata y olla de cobre	Se dice de quien presume de una riqueza que no tiene a costa de pasar privaciones. Este refrán también alude a quien puede pasar con la correspondiente decencia a su estado si se modera en los gastos y no aparenta ser hidalgo o noble. Parece que el primer sentido recomienda la precaución de comprar utensilios de material durarero, para que no se rompan y haya que hacer gast con frecuencia al adquirir otros, precisamente porque no se dispone de mucho dinero. Estaría relacionado, pues, con la paremia Lo barato sale caro.	En desuso
